Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C98,22u,C_1206_3216Metric,124.7,-123.6,90.0,top
C99,100n,C_0603_1608Metric,118.6,-119.8,0.0,top
C100,100n,C_0603_1608Metric,147.0,-124.5,-90.0,top
C102,100n,C_0603_1608Metric,145.0,-110.0,90.0,top
C103,100u,CP_Elec_8x10,139.5,-110.0,270.0,top
C105,4.7uF 500V,C_Elec_8x10.2,131.0,-121.0,-90.0,top
C107,10nF,C_0603_1608Metric,230.0,-146.1,180.0,top
C108,100u,CP_Elec_8x10,219.0,-166.0,90.0,top
C109,22u,C_1206_3216Metric,224.0,-142.6,90.0,top
C1001,1uF,C_0603_1608Metric,111.4125,-109.1125,180.0,top
C1002,1uF,C_0603_1608Metric,107.0,-111.25,-90.0,top
C1003,1uF,C_0603_1608Metric,106.5,-45.0,-90.0,top
C1004,1uF,C_0603_1608Metric,108.94,-129.7,180.0,top
C1005,1uF,C_0603_1608Metric,107.0,-100.25,-90.0,top
C1006,1uF,C_0603_1608Metric,108.0,-118.0,0.0,top
C1007,1uF,C_0603_1608Metric,107.0,-89.25,-90.0,top
C1008,1uF,C_0603_1608Metric,107.0,-78.25,-90.0,top
C1009,1uF,C_0603_1608Metric,108.24,-38.725,90.0,top
C1010,1uF,C_0603_1608Metric,107.0,-67.25,-90.0,top
C1011,1uF,C_0603_1608Metric,106.9,-56.4,90.0,top
D1,LED,LED_0603_1608Metric,169.7125,-91.0,180.0,top
D2,LED,LED_0603_1608Metric,111.0,-116.5,180.0,top
D3,LED,LED_0603_1608Metric,111.0,-115.0,180.0,top
D4,LED,LED_0603_1608Metric,169.712499,-92.5,180.0,top
D5,LED,LED_0603_1608Metric,207.5,-147.0,0.0,top
D6,LED,LED_0603_1608Metric,207.5,-145.5,0.0,top
D7,LED,LED_0603_1608Metric,118.675,-110.525,90.0,top
D8,D,D_SMA,111.1,-132.2,180.0,top
D9,D,D_SOD-323,101.4,-26.35,-90.0,top
D10,D,D_SOD-323,96.9,-18.6,-90.0,top
D11,D,D_SOD-323,109.75,-26.3625,-90.0,top
D12,D,D_SOD-323,104.8,-18.4625,-90.0,top
D13,D,D_SOD-323,117.75,-26.4625,-90.0,top
D14,D,D_SOD-323,112.75,-18.4625,-90.0,top
D15,D,D_SOD-323,117.55,-45.2375,-90.0,top
D16,D,D_SOD-323,112.8625,-37.6,-90.0,top
D17,D,D_SOD-323,117.4,-64.2125,-90.0,top
D18,D,D_SOD-323,112.9,-56.4625,-90.0,top
D19,D,D_SOD-323,117.4375,-102.25,-90.0,top
D20,D,D_SOD-323,112.9375,-94.5,-90.0,top
D21,D,D_SOD-323,125.4375,-26.25,-90.0,top
D22,D,D_SOD-323,120.9375,-18.5,-90.0,top
D23,D,D_SOD-323,117.4375,-83.25,-90.0,top
D24,D,D_SOD-323,112.9375,-75.5,-90.0,top
D25,D,D_SOD-323,125.4,-45.25,-90.0,top
D26,D,D_SOD-323,120.9,-37.5,-90.0,top
D27,D,D_SOD-323,125.4375,-83.25,-90.0,top
D28,D,D_SOD-323,120.9375,-75.5,-90.0,top
D29,D,D_SOD-323,125.4375,-102.25,-90.0,top
D30,D,D_SOD-323,120.9375,-94.5,-90.0,top
D31,D,D_SOD-323,125.4375,-64.25,-90.0,top
D32,D,D_SOD-323,120.9375,-56.5,-90.0,top
D33,D,D_SOD-323,133.4375,-26.25,-90.0,top
D34,D,D_SOD-323,128.9375,-18.5,-90.0,top
D35,D,D_SOD-323,141.4,-26.25,-90.0,top
D36,D,D_SOD-323,136.9,-18.5,-90.0,top
D37,D,D_SOD-323,133.4375,-102.25,-90.0,top
D38,D,D_SOD-323,128.9375,-94.5,-90.0,top
D39,D,D_SOD-323,133.4375,-45.25,-90.0,top
D40,D,D_SOD-323,128.9375,-37.5,-90.0,top
D41,D,D_SOD-323,133.4375,-83.25,-90.0,top
D42,D,D_SOD-323,128.9375,-75.5,-90.0,top
D43,D,D_SOD-323,149.4375,-26.25,-90.0,top
D44,D,D_SOD-323,144.9375,-18.5,-90.0,top
D45,D,D_SOD-323,141.4,-83.35,-90.0,top
D46,D,D_SOD-323,136.9,-75.6,-90.0,top
D47,D,D_SOD-323,133.4375,-64.25,-90.0,top
D48,D,D_SOD-323,128.9375,-56.5,-90.0,top
D49,D,D_SOD-323,141.4,-64.35,-90.0,top
D50,D,D_SOD-323,136.9,-56.6,-90.0,top
D51,D,D_SOD-323,149.4375,-64.25,-90.0,top
D52,D,D_SOD-323,144.9375,-56.5,-90.0,top
D53,D,D_SOD-323,149.4,-45.2125,-90.0,top
D54,D,D_SOD-323,144.9,-37.4625,-90.0,top
D55,D,D_SOD-323,141.4375,-45.25,-90.0,top
D56,D,D_SOD-323,136.9375,-37.5,-90.0,top
D57,D,D_SOD-323,157.4375,-64.25,-90.0,top
D58,D,D_SOD-323,152.9375,-56.5,-90.0,top
D59,D,D_SOD-323,157.4375,-26.25,-90.0,top
